ervicio;Programa;Económica;Explicación;Total (miles €);Total (€)
1;232M;10;Altos cargos;269,6;269.600
1;232M;100;Retribuciones básicas y otras remuneraciones;269,6;269.600
1;232M;10000;Retribuciones básicas;133,52;133.520
1;232M;10001;Retribuciones complementarias;136,08;136.080
1;232M;11;Personal eventual;518,07;518.070
1;232M;110;Retribuciones básicas y otras remuneraciones;518,07;518.070
1;232M;11000;Retribuciones básicas;198,95;198.950
1;232M;11001;Retribuciones complementarias;319,12;319.120
1;232M;12;Funcionarios;5.016,14;5.016.140
1;232M;120;Retribuciones básicas;1.883,39;1.883.390
1;232M;12000;Sueldos grupo A1 y A;520,25;520.250
1;232M;12001;Sueldos grupo A2 y B;295,62;295.620
1;232M;12002;Sueldos grupo C1 y C;386,02;386.020
1;232M;12003;Sueldos grupo C2 y D;160,64;160.640
1;232M;12005;Trienios;179,42;179.420
1;232M;12006;Pagas extraordinarias;341,44;341.440
1;232M;121;Retribuciones complementarias;3.012,83;3.012.830
1;232M;12100;Complemento de destino;886,39;886.390
1;232M;12101;Complemento específico;1.227,44;1.227.440
1;232M;12181;Necesidades adicionales;899;899.000
1;232M;123;Indemnizaciones por destino en el extranjero;119,92;119.920
1;232M;13;Laborales;587,98;587.980
1;232M;130;Laboral fijo;587,98;587.980
1;232M;13000;Retribuciones básicas;570,93;570.930
1;232M;13001;Otras remuneraciones;17,05;17.050
1;232M;15;Incentivos al rendimiento;1.713,83;1.713.830
1;232M;150;Productividad;1.702,69;1.702.690
1;232M;151;Gratificaciones;11,14;11.140
1;232M;16;Cuotas, prestaciones y gastos sociales;1.079,53;1.079.530
1;232M;160;Cuotas sociales;934,22;934.220
1;232M;16000;Seguridad Social;934,22;934.220,00
1;232M;162;Gastos sociales del personal;145,31;145.310
1;232M;16200;Formación y perfeccionamiento;50;50.000
1;232M;16204;Acción social;40,31;40.310
1;232M;16209;Otros;55;55.000
1;232M;—;TOTAL GASTOS DE PERSONAL;9.185,15;9.185.150
1;232M;20;Arrendamientos y cánones;90;90.000
1;232M;205;Arrendamientos de mobiliario y enseres;10;10.000
1;232M;206;Arrendamientos de equipos para procesos de información;80;80.000
1;232M;21;Reparaciones, mantenimiento y conservación;357,25;357.250
1;232M;212;Edificios y otras construcciones;70;70.000
1;232M;213;Maquinaria, instalaciones y utillaje;262,25;262.250
1;232M;215;Mobiliario y enseres;5;5.000
