;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen económico por programas del presupuesto de gastos;
;;
;Sección: 30 MINISTERIO DE IGUALDAD;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Clasif. por programas;Explicación;Cap. 1;Cap. 2;Cap. 4;Cap. 6;Cap. 7;Cap. 8;Cap. 1 a 8;;Total;
232B; Igualdad de oportunidades entre mujeres y hombres;7.629,41;15.054,61;198.629,00;10.154,75;100,00;23,71;231.591,48;;231.591,48;
232C; Actuaciones para la prevención integral de la violencia de género;2.556,06;6.717,27;223.820,02;16.623,54;10.000,00;;259.716,89;;259.716,89;
232D; Igualdad de trato y diversidad;1.515,67;2.220,50;680,00;2.510,00;;;6.926,17;;6.926,17;
232M; Dirección y Servicios Generales de Igualdad;9.185,15;3.470,37;;620,20;;25,00;13.300,72;;13.300,72;
;TOTAL CONSOLIDADO;20.886,29;27.462,75;423.129,02;29.908,49;10.100,00;48,71;511.535,26;;511.535,26;
000X; Transferencias y libramientos internos;;;18.542,45;;365,00;;18.907,45;;18.907,45;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;;;18.542,45;;365,00;;18.907,45;;18.907,45;
;TOTAL;20.886,29;27.462,75;441.671,47;29.908,49;10.465,00;48,71;530.442,71;;530.442,71;
;;



