Código;Programa;Cap. 1 (Personal);Cap. 2 (Corrientes);Cap. 4 (Transferencias corrientes);Cap. 6 (Inversiones reales);Cap. 7 (Transferencias de capital);Cap. 8 (Activos financieros);Total;;
232B;Igualdad de oportunidades entre mujeres y hombres;7.629,41;15.054,61;198.629,00;10.154,75;100;23,71;231.591,48;;
232C;Prevención integral de la violencia de género;2.556,06;6.717,27;223.820,02;16.623,54;10.000,00;—;259.716,89;;
232D;Igualdad de trato y diversidad;1.515,67;2.220,50;680;2.510,00;—;—;6.926,17;;
232M;Dirección y Servicios Generales de Igualdad;9.185,15;3.470,37;—;620,2;—;25;13.300,72;;
TOTAL CONSOLIDADO;—;20.886,29;27.462,75;423.129,02;29.908,49;10.100,00;48,71;511.535,26;;
000X;Transferencias internas;—;—;18.542,45;—;365;—;18.907,45;;
TOTAL GENERAL;—;20.886,29;27.462,75;441.671,47;29.908,49;10.465,00;48,71;530.442,71;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
