Servicio;Programa;Económica;Explicación;Total (miles euros);Total (euros)
1;461M;10;Altos cargos;279,72;279.720,00
1;461M;11;Personal eventual;685,56;685.560,00
1;461M;12;Funcionarios;35.937,63;35.937.630,00
1;461M;13;Laborales;612,62;612.620,00
1;461M;15;Incentivos al rendimiento;1.930,48;1.930.480,00
1;461M;16;Cuotas, prestaciones y gastos sociales;1.888,29;1.888.290,00
—;—;—;TOTAL GASTOS DE PERSONAL;41.334,30;41.334.300,00
1;461M;20–23;Gastos corrientes en bienes y servicios;8.328,91;8.328.910,00
1;461M;62–64;Inversiones reales;4.850,59;4.850.590,00
1;461M;83;Préstamos fuera del sector público;20;20.000,00
—;—;—;TOTAL Programa 461M;54.533,80;54.533.800,00
1;463A;44;A entidades del Sector Público Estatal;1.106,00;1.106.000,00
1;463A;48;A familias e instituciones sin fines de lucro;18.014,79;18.014.790,00
—;—;—;TOTAL TRANSFERENCIAS CORRIENTES;19.120,79;19.120.790,00
1;463A;74;A entidades del Sector Público Estatal;100;100.000,00
1;463A;78;A familias e instituciones sin fines de lucro;4.916,85;4.916.850,00
—;—;—;TOTAL TRANSFERENCIAS DE CAPITAL;5.016,85;5.016.850,00
—;—;—;TOTAL Programa 463A;24.137,64;24.137.640,00
1;;;Ministerio, Subsecretaría y Servicios Generales;78.671,44;78.671.440,00
2;461M;10;Altos cargos;61,04;61.040,00
2;461M;12;Funcionarios;1.993,49;1.993.490,00
2;461M;16;Cuotas, prestaciones y gastos sociales;272,69;272.690,00
—;—;—;TOTAL GASTOS DE PERSONAL;2.327,22;2.327.220,00
2;461M;22;Material, suministros y otros;561,8;561.800,00
2;461M;23;Indemnizaciones por razón del servicio;1,47;1.470,00
2;461M;24;Gastos de publicaciones;203;203.000,00
—;—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;766,27;766.270,00
2;461M;;Dirección y Servicios Generales de Ciencia, Innovación y Universidades;3.093,49;3.093.490,00
6;463B;10;Altos cargos;71,16;71.160,00
6;463B;12;Funcionarios;1.738,95;1.738.950,00
6;463B;13;Laborales;205,09;205.090,00
6;463B;16;Cuotas, prestaciones y gastos sociales;304,54;304.540,00
—;—;—;TOTAL GASTOS DE PERSONAL;2.319,74;2.319.740,00
6;463B;22–23;Gastos corrientes en bienes y servicios;10.389,09;10.389.090,00
6;463B;35;Intereses de demora;1;1.000,00
6;463B;44–48;Transferencias corrientes (FECYT, IAC, premios, congresos);14.260,42;14.260.420,00
6;463B;62;Inversión nueva funcionamiento operativo;300;300.000,00
6;463B;74–78;Transferencias de capital (FECYT, IAC, CCAA, acciones científicas);110.774,50;110.774.500,00
—;—;—;TOTAL Programa 463B;138.044,75;138.044.750,00
6;000X;41–43;Transferencias corrientes (CIEMAT, ISCIII, CSIC, AEI, UIMP);656.917,31;656.917.310,00
6;000X;71–73;Transferencias de capital (CIEMAT, ISCIII, CSIC, AEI);932.062,96;932.062.960,00
—;—;—;TOTAL Programa 000X;1.588.980,27;1.588.980.270,00
6;;;Secretaría General de Investigación;1.727.025,02;1.727.025.020,00
7;463B;10;Altos cargos;61,04;61.040,00
7;463B;12;Funcionarios;2.020,27;2.020.270,00
7;463B;13;Laborales;91,33;91.330,00
7;463B;16;Cuotas, prestaciones y gastos sociales;444,29;444.290,00
