;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;;
;;
;Sección: 28 MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Servicio;Programa;Económica;Explicación;;Total;
v;01;;;MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;;
v;;461M;;Dirección y Servicios Generales de Ciencia, Innovación y Universidades;;;
v;;;1;GASTOS DE PERSONAL;;;
v;;;10;Altos cargos;;279,72;
;;;100;Retribuciones básicas y otras remuneraciones;;279,72;
;;;10000; Retribuciones básicas;133,92;;
;;;10001; Retribuciones complementarias;145,80;;
v;;;11;Personal eventual;;685,56;
;;;110;Retribuciones básicas y otras remuneraciones;;685,56;
;;;11000; Retribuciones básicas;276,01;;
;;;11001; Retribuciones complementarias;409,55;;
v;;;12;Funcionarios;;35.937,63;
;;;120;Retribuciones básicas;;3.552,11;
;;;12000; Sueldos del grupo A1 y grupo A;1.634,04;;
;;;12001; Sueldos del grupo A2 y grupo B;484,32;;
;;;12002; Sueldos del grupo C1 y grupo C;360,42;;
;;;12003; Sueldos del grupo C2 y grupo D;93,35;;
;;;12005; Trienios;426,42;;
;;;12006; Pagas extraordinarias;553,56;;
;;;121;Retribuciones complementarias;;32.155,12;
;;;12100; Complemento de destino;1.413,41;;
;;;12101; Complemento específico;1.841,71;;
;;;12181; Necesidades adicionales;28.900,00;;
;;;123;Indemnizaciones percibidas por destino en el extranjero;;230,40;
v;;;13;Laborales;;612,62;
;;;130;Laboral fijo;;521,70;
;;;13000; Retribuciones básicas;516,66;;
;;;13001; Otras remuneraciones;5,04;;
;;;131;Laboral eventual;;90,92;
v;;;15;Incentivos al rendimiento;;1.930,48;
v;;;150;Productividad;;1.894,84;
v;;;151;Gratificaciones;;35,64;
v;;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;1.888,29;
;;;160;Cuotas sociales;;1.274,55;
v;;;16000; Seguridad Social;1.274,55;;
;;;162;Gastos sociales del personal;;613,74;
v;;;16200; Formación y perfeccionamiento del personal;146,68;;
v;;;16201; Economatos y comedores;46,97;;
v;;;16204; Acción social;313,45;;
;;;16205; Seguros;50,00;;
;;;16209; Otros;56,64;;
;;;;TOTAL GASTOS DE PERSONAL;;41.334,30;
 ; ;;;;;;
v;;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
v;;;20;Arrendamientos y cánones;;622,43;
v;;;202;Arrendamientos de edificios y otras construcciones;;622,43;
v;;;21;Reparaciones, mantenimiento y conservación;;507,26;
;;;212;Edificios y otras construcciones;;121,34;
;;;213;Maquinaria, instalaciones y utillaje;;303,25;
;;;215;Mobiliario y enseres;;82,67;
v;;;22;Material, suministros y otros;;6.733,23;
;;;220;Material de oficina;;177,59;
;;;22000; Ordinario no inventariable;141,14;;
;;;22001; Prensa, revistas, libros y otras publicaciones;5,05;;
;;;22002; Material informático no inventariable;31,40;;
;;;221;Suministros;;968,88;
;;;22100; Energía eléctrica;258,21;;
;;;22101; Agua;10,00;;
;;;22103; Combustible;593,86;;
;;;22104; Vestuario;8,66;;
;;;22111; Suministros de repuestos de maquinaria, utillaje y elementos de transporte;57,75;;
;;;22112; Suministros de material electrónico, eléctrico y de comunicaciones;8,00;;
;;;22199; Otros suministros;32,40;;
;;;222;Comunicaciones;;9,85;
;;;22201; Postales y mensajería;9,85;;
;;;223;Transportes;;159,13;
;;;225;Tributos;;483,40;
v;;;22502; Locales;483,40;;
;;;226;Gastos diversos;;368,00;
v;;;22601; Atenciones protocolarias y representativas;10,00;;
;;;22602; Publicidad y propaganda;10,00;;
;;;22603; Jurídicos, contenciosos;200,00;;
;;;22606; Reuniones, conferencias y cursos;138,00;;
;;;22699; Otros;10,00;;
;;;227;Trabajos realizados por otras empresas y profesionales;;4.566,38;
;;;22700; Limpieza y aseo;57,57;;
;;;22701; Seguridad;763,80;;
;;;22706; Estudios y trabajos técnicos;3.684,53;;
;;;22799; Otros;60,48;;
v;;;23;Indemnizaciones por razón del servicio;;465,99;
;;;230;Dietas;;128,17;
;;;231;Locomoción;;263,23;
;;;232;Traslado;;14,60;
;;;233;Otras indemnizaciones;;59,99;
;;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;8.328,91;
 ; ;;;;;;
v;;;6;INVERSIONES REALES;;;
;;;62;Inversión nueva asociada al funcionamiento operativo de los servicios;;1.850,59;
;;;620;Inversión nueva asociada al funcionamiento operativo de los servicios;;1.850,59;
;;;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;;2.500,00;
;;;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;;2.500,00;
;;;64;Gastos de inversiones de carácter inmaterial;;500,00;
;;;640;Gastos en inversiones de carácter inmaterial;;500,00;
;;;;TOTAL INVERSIONES REALES;;4.850,59;
 ; ;;;;;;
v;;;8;ACTIVOS FINANCIEROS;;;
v;;;83;Concesión de préstamos fuera del Sector Público;;20,00;
v;;;830;Préstamos a corto plazo;;3,50;
;;;83008; Familias e instituciones sin fines de lucro;3,50;;
v;;;831;Préstamos a largo plazo;;16,50;
;;;83108; Familias e instituciones sin fines de lucro;16,50;;
;;;;TOTAL ACTIVOS FINANCIEROS;;20,00;
 ; ;;;;;;
;;;;TOTAL Dirección y Servicios Generales de Ciencia, Innovación y Universidades;;54.533,80;
 ; ;;;;;;
v;;463A;;Investigación científica;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;1.106,00;
v;;;449;Transferencias, ayudas nominativas y otros;;1.106,00;
v;;;44901; A la Fundación Residencia de Estudiantes para becas;96,00;;
v;;;44902; A la Fundación Residencia de Estudiantes para gastos de funcionamiento;1.010,00;;
v;;;48;A familias e instituciones sin fines de lucro;;18.014,79;
v;;;480;Al Institut d´Estudis Aranesi - Acadèmia Aranesa dera Lengua Occitana;;30,00;
v;;;481;Ayudas al Instituto de España, reales academias y otras instituciones adscritas al programa para desarrollo de actividades y gastos de funcionamiento;;17.545,28;
v;;;48101; Real Academia Española;7.455,33;;
v;;;48103; Instituto de España;635,08;;
v;;;48104; Real Academia de Historia;1.143,30;;
v;;;48105; Real Academia de Bellas Artes de San Fernando;1.690,16;;
v;;;48106; Real Academia de Ciencias Exactas, Físicas y Naturales;676,94;;
v;;;48107; Real Academia de Ciencias Morales y Políticas;923,22;;
v;;;48108; Real Academia Nacional de Farmacia;630,27;;
v;;;48109; Real Academia de Jurisprudencia y Legislación;601,92;;
v;;;48110; Real Academia Nacional de Medicina;696,62;;
v;;;48112; Institut d'Estudis Catalans;333,17;;
v;;;48113; Academia de la Lengua Vasca (Euskaltzaindia);333,00;;
v;;;48115; Real Academia de Ingeniería;534,50;;
v;;;48116; Real Academia de Ciencias Económicas y Financieras;534,50;;
v;;;48117; Sociedad de Estudios Vascos-Eusko Ikaskuntza;235,40;;
v;;;48118; Real Academia de Doctores de España;131,00;;
v;;;48119; Real Academia de Ciencias Veterinarias;90,00;;
v;;;48120; Real Academia Galega;333,17;;
v;;;48122; Real Academia de Gastronomía;156,22;;
v;;;48124; Sociedad de Ciencias Aranzadi;133,75;;
v;;;48125; Jakiunde (Academia de las Ciencias, de las Artes y de las Letras);96,84;;
v;;;48128; Academia Joven de España;62,80;;
v;;;48129; Academia de Psicología de España;68,09;;
v;;;48131; A la Academia de la Llingua Asturiana;50,00;;
v;;;483;Comisión permanente de la Asociación de Academias de la Lengua Española;;89,51;
