Económica;Explicación;20.09;Total (miles €);Total (€)
1;GASTOS DE PERSONAL;1.917,18;1.917,18;1.917.180,00 €
12;Funcionarios;1.439,33;1.439,33;1.439.330,00 €
13;Laborales;227,68;227,68;227.680,00 €
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;250,17;250,17;250.170,00 €
4;TRANSFERENCIAS CORRIENTES;1.778,00;1.778,00;1.778.000,00 €
44;A entidades del Sector Público Estatal;1.750,00;1.750,00;1.750.000,00 €
49;Al exterior;28;28;28.000,00 €
7;TRANSFERENCIAS DE CAPITAL;49.079,68;49.079,68;49.079.680,00 €
75;A Comunidades Autónomas;2.000,00;2.000,00;2.000.000,00 €
77;A empresas privadas;47.079,68;47.079,68;47.079.680,00 €
8;ACTIVOS FINANCIEROS;600.000,00;600.000,00;600.000.000,00
87;Aportaciones patrimoniales;600.000,00;600.000,00;600.000.000,00
—;TOTAL PROGRAMA 422M – Reconversión y reindustrialización;—;652.774,86;652.774.860,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
