Orgánica;Económica;Explicación;Total (miles  euros);Total (euros)
20.09;10;Altos cargos;61,04;61.040,00
20.09;12;Funcionarios;1.419,56;1.419.560,00
20.09;13;Laborales;279,45;279.450,00
20.09;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;222,08;222.080,00
20.09;16000;Seguridad Social;222,08;222.080,00
;;TOTAL GASTOS DE PERSONAL;1.982,13;1.982.130,00
20.09;22;Material, suministros y otros;1,34;1.340,00
20.09;22601;Atenciones protocolarias y representativas;1,34;1.340,00
20.09;23;Indemnizaciones por razón del servicio;215,84;215.840,00
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;217,18;217.180,00
20.09;48;A familias e instituciones sin fines de lucro;100;100.000,00
20.09;480;ADI-FAD;100;100.000,00
;;TOTAL TRANSFERENCIAS CORRIENTES;100;100.000,00
20.09;77;A empresas privadas;332.000,00;332.000.000,00
20.09;771;Compensación costes indirectos (RCDE – Ley 7/2021);244.000,00;244.000.000,00
20.09;773;Estatuto Electrointensivo;88.000,00;88.000.000,00
20.09;78;A familias e instituciones sin fines de lucro;50;50.000,00
20.09;781;Instituto de Ingeniería de España – incorporación de la mujer a profesiones STEM;50;50.000,00
;;TOTAL TRANSFERENCIAS DE CAPITAL;332.050,00;332.050.000,00
20.09;87;Aportaciones patrimoniales;1,5;1.500,00
20.09;871;Fondo Español de Reserva para Garantía de entidades Electrointensivas;1,5;1.500,00
;;TOTAL ACTIVOS FINANCIEROS;1,5;1.500,00
;;TOTAL PROGRAMA 422B – Desarrollo industrial;334.350,81;334.350.810,00
