Económica;Explicación;20.09;Total (miles  euros);Total (euros)
1;GASTOS DE PERSONAL;1.982,13;1.982,13;1.982.130,00
10;Altos cargos;61,04;61,04;61.040,00
12;Funcionarios;1.419,56;1.419,56;1.419.560,00
13;Laborales;279,45;279,45;279.450,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;222,08;222,08;222.080,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;217,18;217,18;217.180,00
22;Material, suministros y otros;1,34;1,34;1.340,00
23;Indemnizaciones por razón del servicio;215,84;215,84;215.840,00
4;TRANSFERENCIAS CORRIENTES;100;100;100.000,00
48;A familias e instituciones sin fines de lucro;100;100;100.000,00
7;TRANSFERENCIAS DE CAPITAL;332.050,00;332.050,00;332.050.000,00
77;A empresas privadas;332.000,00;332.000,00;332.000.000,00
78;A familias e instituciones sin fines de lucro;50;50;50.000,00
8;ACTIVOS FINANCIEROS;1,5;1,5;1.500,00
87;Aportaciones patrimoniales;1,5;1,5;1.500,00
—;TOTAL PROGRAMA 422B – Desarrollo industrial;—;334.350,81;334.350.810,00
