Económica;Explicación;Sección 20.50 (miles €);Total (miles €);Total (€)
4;Transferencias corrientes;20.000,00;20.000,00;20.000.000,00 €
44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y otras entidades del Sector Público Estatal;20.000,00;20.000,00;20.000.000,00 €
6;Inversiones reales;1.300,00;1.300,00;1.300.000,00 €
69;Inversiones reales. Mecanismo de Recuperación y Resiliencia;1.300,00;1.300,00;1.300.000,00 €
7;Transferencias de capital;43.700,00;43.700,00;43.700.000,00 €
78;A familias e instituciones sin fines de lucro;43.700,00;43.700,00;43.700.000,00 €
—;TOTAL;65.000,00;65.000,00;65.000.000,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
