;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 20 MINISTERIO DE INDUSTRIA Y TURISMO;
;Programa: 432A Coordinación y promoción del turismo;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;20.04;20.104;Total;
1;GASTOS DE PERSONAL;2.859,34;23.212,13;26.071,47;
10; Altos cargos;80,30;61,04;141,34;
11; Personal eventual;255,34;;255,34;
12; Funcionarios;2.216,27;12.830,68;15.046,95;
13; Laborales;26,65;7.249,56;7.276,21;
15; Incentivos al rendimiento;;457,68;457,68;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;280,78;2.613,17;2.893,95;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;343,31;12.290,94;12.634,25;
20; Arrendamientos y cánones;;4.736,04;4.736,04;
21; Reparaciones, mantenimiento y conservación;;1.314,76;1.314,76;
22; Material, suministros y otros;245,31;4.988,55;5.233,86;
23; Indemnizaciones por razón del servicio;98,00;1.251,59;1.349,59;
3;GASTOS FINANCIEROS;110,00;127,00;237,00;
35; Intereses de demora y otros gastos financieros;110,00;127,00;237,00;
4;TRANSFERENCIAS CORRIENTES;9.330,00;1.251,34;10.581,34;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;9.000,00;;9.000,00;
46; A Entidades Locales;80,00;;80,00;
48; A familias e instituciones sin fines de lucro;100,00;1.106,34;1.206,34;
49; Al exterior;150,00;145,00;295,00;
6;INVERSIONES REALES;1.306,70;66.200,98;67.507,68;
60; Inversión nueva en infraestructuras y bienes destinados al uso general;;16.500,00;16.500,00;
61; Inversión de reposición en infraestructuras y bienes destinados al uso general;;12.056,98;12.056,98;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;;439,50;439,50;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;;100,00;100,00;
64; Gastos de inversiones de carácter inmaterial;1.306,70;37.104,50;38.411,20;
7;TRANSFERENCIAS DE CAPITAL;24.920,00;;24.920,00;
76; A Entidades Locales;23.145,00;;23.145,00;
78; A familias e instituciones sin fines de lucro;1.775,00;;1.775,00;
8;ACTIVOS FINANCIEROS;127.990,79;134,36;128.125,15;
83; Concesión de préstamos fuera del Sector Público;127.985,42;36,96;128.022,38;
84; Constitución de depósitos y fianzas;;97,40;97,40;
87; Aportaciones patrimoniales;5,37;;5,37;
;TOTAL;166.860,14;103.216,75;270.076,89;
;;



