Orgánica;Económica;Explicación;Total (miles €);Total (€)
20.04;1;GASTOS DE PERSONAL;2.859,34;2.859.340,00 €
;10;Altos cargos;80,3;80.300,00 €
;11;Personal eventual;255,34;255.340,00 €
;12;Funcionarios;2.216,27;2.216.270,00 €
;13;Laborales;26,65;26.650,00 €
;16;Cuotas y gastos sociales;280,78;280.780,00 €
20.04;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;343,31;343.310,00 €
;22;Material, suministros y otros;245,31;245.310,00 €
;23;Indemnizaciones por razón del servicio;98;98.000,00 €
;22601;Atenciones protocolarias;5,31;5.310,00 €
20.04;3;GASTOS FINANCIEROS;110;110.000,00 €
;35 / 359;Intereses y otros gastos financieros;110;110.000,00 €
20.04;4;TRANSFERENCIAS CORRIENTES;9.330,00;9.330.000,00 €
;44 / 441;Al ICO;9.000,00;9.000.000,00
;46 / 460;Ajuntament de Tortosa;80;80.000,00 €
;48 / 480;Fundación Mas Miró;100;100.000,00 €
;49 / 491;Organización Mundial del Turismo;150;150.000,00 €
20.04;6;INVERSIONES REALES;1.306,70;1.306.700,00
20.04;7;TRANSFERENCIAS DE CAPITAL;24.920,00;24.920.000,00 €
;76 / 763;A entidades locales;23.145,00;23.145.000,00 €
;78 / 786;A familias e instituciones sin fines de lucro;1.775,00;1.775.000,00 €
20.04;8;ACTIVOS FINANCIEROS;127.990,79;127.990.790,00 €
;83 / 833;Préstamos a empresas turísticas;127.985,42;127.985.420,00 €
;87 / 871;Fondo FOCIT;5,37;5.370,00 €
—;—;TOTAL SECRETARÍA DE ESTADO DE TURISMO;166.860,14;166.860.140,00 €
20.104;1;GASTOS DE PERSONAL;23.212,13;23.212.130,00 €
;15 / 150–151;Incentivos, productividad, gratificaciones;457,68;457.680,00 €
;16000–16204;Seguridad Social, formación, acción social;—;—
20.104;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;12.290,94;12.290.940,00 €
;202 / 22502;Arrendamientos y locales;5.493,36;5.493.360,00 €
;22601;Atenciones protocolarias;5,31;5.310,00 €
20.104;3;GASTOS FINANCIEROS;127;127.000,00
;35 / 352 / 359;Intereses y otros gastos financieros;127;127.000,00
20.104;4;TRANSFERENCIAS CORRIENTES;1.251,34;1.251.340,00 €
;48 / 484;Becas para alumnos de turismo;1.106,34;1.106.340,00 €
;49 / 491–492;Cuotas internacionales;145;145.000,00 €
20.104;6;INVERSIONES REALES;66.200,98;66.200.980,00 €
20.104;8;ACTIVOS FINANCIEROS;134,36;134.360,00 €
;83 / 831;Préstamos a largo plazo;36,96;36.960,00 €
;84 / 841;Fianzas;97,4;97.400,00
—;—;TOTAL INSTITUTO DE TURISMO DE ESPAÑA;103.216,75;103.216.750,00 €
—;—;TOTAL PROGRAMA 432A – Coordinación y promoción del turismo;270.076,89;270.076.890,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
