Económica;Explicación;20.09;Total (miles €);Total (€)
1;GASTOS DE PERSONAL;1.722,37;1.722,37;1.722.370,00 €
12;Funcionarios;1.538,01;1.538,01;1.538.010,00 €
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;184,36;184,36;184.360,00 €
16000;Seguridad Social;184,36;184,36;184.360,00 €
4;TRANSFERENCIAS CORRIENTES;3.500,00;3.500,00;3.500.000,00 €
44 / 445;A ENISA;500;500;500.000,00 €
46 / 460;Fundación Mubil (Guipúzcoa);3.000,00;3.000,00;3.000.000,00 €
6;INVERSIONES REALES;6.061,13;6.061,13;6.061.130,00 €
7;TRANSFERENCIAS DE CAPITAL;32.536,59;32.536,59;32.536.590,00 €
74 / 747 / 74701;A CERSA (Compañía Española de Reafianzamiento);24.236,59;24.236,59;24.236.590,00 €
76 / 760;Ajuntament de Mollerussa;300;300;300.000,00 €
78 / 787;A familias e instituciones sin fines de lucro;8.000,00;8.000,00;8.000.000,00
8;ACTIVOS FINANCIEROS;98.500,00;98.500,00;98.500.000,00 €
82 / 821;Préstamos a largo plazo;98.500,00;98.500,00;98.500.000,00 €
82110;ENISA – PYMES;57.500,00;57.500,00;57.500.000,00
82111;ENISA – Empresas de base tecnológica;20.500,00;20.500,00;20.500.000,00 €
82112;ENISA – Jóvenes emprendedores;20.500,00;20.500,00;20.500.000,00 €
—;TOTAL PROGRAMA 433M – Apoyo a la pequeña y mediana empresa;—;142.320,09;142.320.090,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
