Económica;Explicación;20.50 (miles €);Total (miles €);Total (€)
2;Gastos corrientes en bienes y servicios;325;325;325.000,00 €
29;Gastos corrientes en bienes y servicios. Mecanismo de Recuperación y Resiliencia;325;325;325.000,00 €
4;Transferencias corrientes;53.675,00;53.675,00;53.675.000,00 €
47;A empresas privadas;30.000,00;30.000,00;30.000.000,00 €
48;A familias e instituciones sin fines de lucro;23.675,00;23.675,00;23.675.000,00 €
—;TOTAL;—;54.000,00;54.000.000,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
