;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico por programas del presupuesto de gastos. Capítulos 1 a 9;
;;
;Sección: 31 MINISTERIO DE JUVENTUD E INFANCIA;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Clasif. por programas;Explicación;ESTADO;OO.AA.;Total;
231G; Atención a la infancia y a las familias;41.437,86;;41.437,86;
232A; Promoción y servicios a la juventud;;54.276,59;54.276,59;
232N; Dirección y Servicios Generales de Juventud e Infancia;10.396,67;;10.396,67;
46SA; C19.I01 Competencias digitales transversales. I+D+i+Digitalización;97.000,00;;97.000,00;
;TOTAL CONSOLIDADO;148.834,53;54.276,59;203.111,12;
000X; Transferencias y libramientos internos;12.558,86;;12.558,86;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;12.558,86;;12.558,86;
;TOTAL;161.393,39;54.276,59;215.669,98;
;;



