;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 08 CONSEJO GENERAL DEL PODER JUDICIAL;
;Programa: 111M Gobierno del Poder Judicial;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;08.01;;Total;
1;GASTOS DE PERSONAL;31.079,62;;31.079,62;
10; Altos cargos;3.027,17;;3.027,17;
11; Personal eventual;3.568,76;;3.568,76;
12; Funcionarios;19.660,93;;19.660,93;
13; Laborales;992,59;;992,59;
15; Incentivos al rendimiento;1.063,00;;1.063,00;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;2.767,17;;2.767,17;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;9.419,26;;9.419,26;
20; Arrendamientos y cánones;132,50;;132,50;
21; Reparaciones, mantenimiento y conservación;1.641,69;;1.641,69;
22; Material, suministros y otros;5.256,93;;5.256,93;
23; Indemnizaciones por razón del servicio;2.388,14;;2.388,14;
4;TRANSFERENCIAS CORRIENTES;438,65;;438,65;
48; A familias e instituciones sin fines de lucro;426,10;;426,10;
49; Al exterior;12,55;;12,55;
6;INVERSIONES REALES;2.270,72;;2.270,72;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;1.834,72;;1.834,72;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;436,00;;436,00;
8;ACTIVOS FINANCIEROS;50,00;;50,00;
83; Concesión de préstamos fuera del Sector Público;50,00;;50,00;
;TOTAL;43.258,25;;43.258,25;
;;



