Económica;Explicación;08.01 ;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;2.807,86;2.807,86;2.807.860,00
12;Funcionarios;2.187,52;2.187,52;2.187.520,00
13;Laborales;343,99;343,99;343.990,00
15;Incentivos al rendimiento;3,15;3,15;3.150,00
151;Gratificaciones;3,15;3,15;3.150,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;273,2;273,2;273.200,00
16000;Seguridad Social;240;240;240.000,00
16200;Formación y perfeccionamiento del personal;10,33;10,33;10.330,00
16201;Economatos y comedores;22,32;22,32;22.320,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;7.871,85;7.871,85;7.871.850,00
20;Arrendamientos y cánones;32;32;32.000,00
21;Reparaciones, mantenimiento y conservación;503,6;503,6;503.600,00
22;Material, suministros y otros;7.122,25;7.122,25;7.122.250,00
22601;Atenciones protocolarias y representativas;8;8;8.000,00
23;Indemnizaciones por razón del servicio;67;67;67.000,00
24;Gastos de publicaciones;147;147;147.000,00
6;INVERSIONES REALES;260,1;260,1;260.100,00
—;TOTAL PROGRAMA 111P – Documentación y publicaciones judiciales;10.939,81;10.939,81;10.939.810,00
