Económica;Explicación;Total (miles  euros);Total (euros)
1;Gastos de personal;4.414,06;4.414.060,00
10;Altos cargos;193,29;193.290,00
13;Laborales;2.907,10;2.907.100,00
14;Otro personal;346,05;346.050,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;967,62;967.620,00
2;Gastos corrientes en bienes y servicios;2.017,82;2.017.820,00
20;Arrendamientos y cánones;32,92;32.920,00
21;Reparaciones, mantenimiento y conservación;309,41;309.410,00
22;Material, suministros y otros;1.533,76;1.533.760,00
23;Indemnizaciones por razón del servicio;55,7;55.700,00
24;Gastos de publicaciones;86,03;86.030,00
4;Transferencias corrientes;1.512,45;1.512.450,00
48;A familias e instituciones sin fines de lucro;1.512,45;1.512.450,00
6;Inversiones reales;1.249,97;1.249.970,00
62;Inversión nueva asociada al funcionamiento operativo;101,75;101.750,00
63;Inversión de reposición asociada al funcionamiento operativo;1.058,22;1.058.220,00
64;Gastos de inversiones de carácter inmaterial;90;90.000,00
8;Activos financieros;26,55;26.550,00
83;Concesión de préstamos fuera del Sector Público;26,55;26.550,00
—;TOTAL PROGRAMA 912P – Asesoramiento del Gobierno;9.220,85;9.220.850,00
