;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 19 MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL;
;Programa: 223A Prestaciones de garantía salarial;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;19.102;;Total;
1;GASTOS DE PERSONAL;18.630,43;;18.630,43;
12; Funcionarios;14.828,42;;14.828,42;
13; Laborales;339,50;;339,50;
15; Incentivos al rendimiento;953,72;;953,72;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;2.508,79;;2.508,79;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;9.553,16;;9.553,16;
20; Arrendamientos y cánones;642,96;;642,96;
21; Reparaciones, mantenimiento y conservación;399,85;;399,85;
22; Material, suministros y otros;8.234,15;;8.234,15;
23; Indemnizaciones por razón del servicio;253,66;;253,66;
25; Conciertos de asistencia sanitaria;22,54;;22,54;
3;GASTOS FINANCIEROS;202,24;;202,24;
31; De préstamos en euros;1,24;;1,24;
35; Intereses de demora y otros gastos financieros;201,00;;201,00;
4;TRANSFERENCIAS CORRIENTES;800.000,00;;800.000,00;
48; A familias e instituciones sin fines de lucro;800.000,00;;800.000,00;
6;INVERSIONES REALES;1.467,50;;1.467,50;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;787,50;;787,50;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;680,00;;680,00;
8;ACTIVOS FINANCIEROS;147,12;;147,12;
83; Concesión de préstamos fuera del Sector Público;147,12;;147,12;
;TOTAL;830.000,45;;830.000,45;
;;



