Económica;Explicación;Total (miles  euros);Total (euros)
1;Gastos de personal;16.912,58;16.912.580,00
12;Funcionarios;10.685,99;10.685.990,00
13;Laborales;1.747,22;1.747.220,00
14;Otro personal;49,88;49.880,00
15;Incentivos al rendimiento;2.042,77;2.042.770,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;2.386,72;2.386.720,00
2;Gastos corrientes en bienes y servicios;14.958,12;14.958.120,00
20;Arrendamientos y cánones;1.602,38;1.602.380,00
21;Reparaciones, mantenimiento y conservación;1.142,45;1.142.450,00
22;Material, suministros y otros;12.153,67;12.153.670,00
23;Indemnizaciones por razón del servicio;56,41;56.410,00
24;Gastos de publicaciones;3,21;3.210,00
4;Transferencias corrientes;2.092.702,83;2.092.702.830,00
44;A entidades del Sector Público Estatal;56.774,17;56.774.170,00
45;A Comunidades Autónomas;1.078.722,20;1.078.722.200,00
48;A familias e instituciones sin fines de lucro;957.206,46;957.206.460,00
6;Inversiones reales;978,89;978.890,00
62;Inversión nueva asociada al funcionamiento operativo;978,89;978.890,00
7;Transferencias de capital;678,89;678.890,00
74;A entidades del Sector Público Estatal;678,89;678.890,00
8;Activos financieros;79,4;79.400,00
83;Concesión de préstamos fuera del Sector Público;79,4;79.400,00
—;TOTAL PROGRAMA 241B – Formación Profesional para el Empleo;2.126.310,71;2.126.310.710,00
