;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 19 MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL;
;Programa: 912P Asesoramiento del Gobierno en materia social, económica y laboral;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;19.301;;Total;
1;GASTOS DE PERSONAL;4.414,06;;4.414,06;
10; Altos cargos;193,29;;193,29;
13; Laborales;2.907,10;;2.907,10;
14; Otro personal;346,05;;346,05;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;967,62;;967,62;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.017,82;;2.017,82;
20; Arrendamientos y cánones;32,92;;32,92;
21; Reparaciones, mantenimiento y conservación;309,41;;309,41;
22; Material, suministros y otros;1.533,76;;1.533,76;
23; Indemnizaciones por razón del servicio;55,70;;55,70;
24; Gastos de publicaciones;86,03;;86,03;
4;TRANSFERENCIAS CORRIENTES;1.512,45;;1.512,45;
48; A familias e instituciones sin fines de lucro;1.512,45;;1.512,45;
6;INVERSIONES REALES;1.249,97;;1.249,97;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;101,75;;101,75;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;1.058,22;;1.058,22;
64; Gastos de inversiones de carácter inmaterial;90,00;;90,00;
8;ACTIVOS FINANCIEROS;26,55;;26,55;
83; Concesión de préstamos fuera del Sector Público;26,55;;26,55;
;TOTAL;9.220,85;;9.220,85;
;;



