Orgánica;Económica;Explicación;Total (miles  euros);Total (euros)
19.03;22;Material, suministros y otros;3.143,04;3.143.040,00
—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;3.143,04;3.143.040,00
19.03;44;A entidades del Sector Público Estatal;10,3;10.300,00
19.03;441;Subvenciones a universidades públicas para formación y fomento del trabajo autónomo;10,3;10.300,00
19.03;47;A empresas privadas;9,6;9.600,00
19.03;470;Subvenciones a universidades privadas para formación y fomento del trabajo autónomo;9,6;9.600,00
19.03;48;A familias e instituciones sin fines de lucro;3.676,22;3.676.220,00
19.03;484;Subvenciones para acciones de formación y fomento del trabajo autónomo;3.070,77;3.070.770,00
19.03;485;Subvenciones para funcionamiento de asociaciones de autónomos, cooperativas y entidades de economía social;605,45;605.450,00
—;—;TOTAL TRANSFERENCIAS CORRIENTES;3.696,12;3.696.120,00
—;—;TOTAL PROGRAMA 241O – Desarrollo del trabajo autónomo;6.839,16;6.839.160,00
