;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 19 MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL;
;Programa: 291A Inspección y control de Seguridad y Protección Social;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;19.103;;Total;
1;GASTOS DE PERSONAL;169.053,15;;169.053,15;
10; Altos cargos;61,04;;61,04;
12; Funcionarios;142.003,86;;142.003,86;
13; Laborales;1.688,19;;1.688,19;
15; Incentivos al rendimiento;15.045,99;;15.045,99;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;10.254,07;;10.254,07;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;29.710,60;;29.710,60;
20; Arrendamientos y cánones;5.619,61;;5.619,61;
21; Reparaciones, mantenimiento y conservación;3.237,88;;3.237,88;
22; Material, suministros y otros;13.943,44;;13.943,44;
23; Indemnizaciones por razón del servicio;6.899,67;;6.899,67;
24; Gastos de publicaciones;10,00;;10,00;
6;INVERSIONES REALES;4.291,73;;4.291,73;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;1.104,11;;1.104,11;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;3.187,62;;3.187,62;
8;ACTIVOS FINANCIEROS;75,36;;75,36;
83; Concesión de préstamos fuera del Sector Público;75,36;;75,36;
;TOTAL;203.130,84;;203.130,84;
;;



