Capítulo;Código Económico;Explicación;32.01;32.02;32.03;Total (miles €);Total (€ reales)
1;—;Gastos de personal;23.420,59;6.001,61;3.380,09;32.802,29;32.802.290 €
;10;Altos cargos;269,56;202,34;141,32;613,22;613.220 €
;11;Personal eventual;539,57;250,45;248,26;1.038,28;1.038.280 €
;12;Funcionarios;13.383,77;4.750,70;2.716,34;20.850,81;20.850.810 €
;13;Laborales;1.437,60;207,04;186,41;1.831,05;1.831.050 €
;15;Incentivos al rendimiento;3.857,08;—;—;3.857,08;3.857.080 €
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;3.933,01;591,08;87,76;4.611,85;4.611.850 €
2;—;Gastos corrientes en bienes y servicios;20.509,10;—;—;20.509,10;20.509.100 €
;20–24;Arrendamientos, reparaciones, suministros, indemnizaciones, publicaciones;—;—;—;—;—
3;—;Gastos financieros;70;—;—;70;70.000 €
;35;Intereses de demora;70,00;—;—;70;70.000,00
4;—;Transferencias corrientes;381,24;—;—;381,24;381.240 €
;44–49;A entidades públicas, CCAA y al exterior;—;—;—;—;—
6;—;Inversiones reales;13.281,00;—;—;13.281,00;13.281.000,00
;62–64;Nuevas, reposición y carácter inmaterial;—;—;—;—;—
8;—;Activos financieros;55;—;—;55;55.000,00
;83–84;Préstamos y fianzas;—;—;—;—;—
—;—;TOTAL PROGRAMA 291M;57.716,93;6.001,61;3.380,09;67.098,63;67.098.630,00
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
