Capítulo;Código Económico;Explicación;32.02 (miles €);Total (miles €);Total (€ reales)
4;—;Transferencias corrientes;34.721.929,32;34.721.929,32;34.721.929.320 €
;42;A la Seguridad Social;34.721.929,32;34.721.929,32;34.721.929.320 €
7;—;Transferencias de capital;1.240,20;1.240,20;1.240.200 €
;72;A la Seguridad Social;1.240,20;1.240,20;1.240.200 €
8;—;Activos financieros;10.003.806,15;10.003.806,15;10.003.806.150 €
;82;Préstamos al Sector Público;10.003.806,15;10.003.806,15;10.003.806.150 €
—;—;TOTAL PROGRAMA 000X;—;44.726.975,67;44.726.975.670 €
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
