Orgánica;Económica;Explicación;Total (miles €);Total (€ reales)
32.02;4;TRANSFERENCIAS CORRIENTES;4.100,00;4.100.000 €
32.02;48;A familias e instituciones sin fines de lucro;4.100,00;4.100.000 €
32.02;481;Prestaciones asistenciales;4.100,00;4.100.000 €
—;—;TOTAL TRANSFERENCIAS CORRIENTES;4.100,00;4.100.000 €
—;—;TOTAL SECRETARÍA DE ESTADO DE SEGURIDAD SOCIAL Y PENSIONES;4.100,00;4.100.000 €
—;—;TOTAL Pensiones no contributivas y prestaciones asistenciales;4.100,00;4.100.000 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
