Capítulo;Económica;Explicación;Total (miles euros);Total (euros)
4;—;Transferencias corrientes a la Seguridad Social;34.721.929,32;34.721.929.320,00
;420;Prestaciones socioeconómicas no contributivas;4.352.666,55;4.352.666.550,00
;423;Complementos de pensiones mínimas;7.261.170,00;7.261.170.000,00
;424;Ingreso Mínimo Vital;3.096.926,14;3.096.926.140,00
;425;Recomendación Pacto de Toledo 2020;19.888.000,00;19.888.000.000,00
;426;Servicios sociales del ISM;14.633,15;14.633.150,00
;429;Otras aportaciones;108.533,48;108.533.480,00
7;72;Transferencias de capital a la Seguridad Social;1.240,20;1.240.200,00
;726;Servicios sociales del ISM;1.240,20;1.240.200,00
8;82;Activos financieros – Préstamos al Sector Público;10.003.806,15;10.003.806.150,00
;821;Préstamos a largo plazo;10.003.806,15;10.003.806.150,00
—;—;TOTAL PROGRAMA 000X – Transferencias y libramientos internos;44.726.975,67;44.726.975.670,00
