Orgánica;Capítulo;Económica;Explicación;Total (miles euros);Total (euros)
32.01;1;—;Gastos de personal;23.420,59;23.420.590,00
;;10;Altos cargos;269,56;269.560,00
;;11;Personal eventual;539,57;539.570,00
;;12;Funcionarios;13.383,77;13.383.770,00
;;13;Laborales;1.437,60;1.437.600,00
;;15;Incentivos al rendimiento;3.857,08;3.857.080,00
;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;3.933,01;3.933.010,00
32.01;2;—;Gastos corrientes en bienes y servicios;20.509,10;20.509.100,00
32.01;3;—;Gastos financieros;70;70.000,00
32.01;4;—;Transferencias corrientes;381,24;381.240,00
32.01;6;—;Inversiones reales;13.281,00;13.281.000,00
32.01;8;—;Activos financieros;55;55.000,00
—;—;—;Total Ministerio, Subsecretaría y Servicios Generales (32.01);57.716,93;57.716.930,00
32.02;1;—;Gastos de personal – Secretaría de Estado de Seguridad Social y Pensiones;6.001,61;6.001.610,00
—;—;—;Total Secretaría de Estado de Seguridad Social y Pensiones (32.02);6.001,61;6.001.610,00
32.03;1;—;Gastos de personal – Secretaría de Estado de Migraciones;3.380,09;3.380.090,00
—;—;—;Total Secretaría de Estado de Migraciones (32.03);3.380,09;3.380.090,00
—;—;—;TOTAL PROGRAMA 291M – Dirección y Servicios Generales;67.098,63;67.098.630,00
