;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 32 MINISTERIO DE INCLUSIÓN, SEGURIDAD SOCIAL Y MIGRACIONES;
;Programa: 291M Dirección y Servicios Generales de la Inclusión, de la Seguridad Social y de la Migración;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;32.01;32.02;32.03;;;Total;
1;GASTOS DE PERSONAL;23.420,59;6.001,61;3.380,09;;;32.802,29;
10; Altos cargos;269,56;202,34;141,32;;;613,22;
11; Personal eventual;539,57;250,45;248,26;;;1.038,28;
12; Funcionarios;13.383,77;4.750,70;2.716,34;;;20.850,81;
13; Laborales;1.437,60;207,04;186,41;;;1.831,05;
15; Incentivos al rendimiento;3.857,08;;;;;3.857,08;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;3.933,01;591,08;87,76;;;4.611,85;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;20.509,10;;;;;20.509,10;
20; Arrendamientos y cánones;1.254,49;;;;;1.254,49;
21; Reparaciones, mantenimiento y conservación;2.329,03;;;;;2.329,03;
22; Material, suministros y otros;15.463,08;;;;;15.463,08;
23; Indemnizaciones por razón del servicio;1.232,50;;;;;1.232,50;
24; Gastos de publicaciones;230,00;;;;;230,00;
3;GASTOS FINANCIEROS;70,00;;;;;70,00;
35; Intereses de demora y otros gastos financieros;70,00;;;;;70,00;
4;TRANSFERENCIAS CORRIENTES;381,24;;;;;381,24;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;90,00;;;;;90,00;
45; A Comunidades Autónomas;90,00;;;;;90,00;
49; Al exterior;201,24;;;;;201,24;
6;INVERSIONES REALES;13.281,00;;;;;13.281,00;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;1.060,00;;;;;1.060,00;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;11.721,00;;;;;11.721,00;
64; Gastos de inversiones de carácter inmaterial;500,00;;;;;500,00;
8;ACTIVOS FINANCIEROS;55,00;;;;;55,00;
83; Concesión de préstamos fuera del Sector Público;50,00;;;;;50,00;
84; Constitución de depósitos y fianzas;5,00;;;;;5,00;
;TOTAL;57.716,93;6.001,61;3.380,09;;;67.098,63;
;;



