Capítulo;Código Económico;Explicación;Total (miles €);Total (€ reales)
1;—;Gastos de personal;2.701,84;2.701.840 €
;10;Altos cargos;71,16;71.160 €
;12;Funcionarios;1.819,42;1.819.420 €
;13;Laborales;514,6;514.600 €
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;296,66;296.660 €
;16000;Seguridad Social (detalle de la partida 16);296,66;296.660 €
4;—;Transferencias corrientes;50;50.000 €
;44;A entidades del Sector Público Estatal;50;50.000 €
;440;Subvenciones a universidades públicas para prácticas;50;50.000 €
—;—;TOTAL PROGRAMA 232E – Análisis y definición de políticas de Inclusión;2.751,84;2.751.840 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
