Orgánica;Económica;Explicación;Total (miles €);Total (€ reales)
32.03;12;Funcionarios;1.391,56;1.391.560 €
32.03;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;150,63;150.630 €
32.03;16000;Seguridad Social (detalle de la partida 16);150,63;150.630 €
—;—;TOTAL GASTOS DE PERSONAL;1.542,19;1.542.190 €
32.03;22;Material, suministros y otros;622,21;622.210 €
—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;622,21;622.210 €
32.03;48;A familias e instituciones sin fines de lucro;8.780,00;8.780.000 €
32.03;483;Acciones en el ámbito migratorio;8.780,00;8.780.000 €
32.03;48301;Pensión asistencial para españoles de origen retornados (art. 25 del Real Decreto 8/2008);8.400,00;8.400.000 €
32.03;49;Al exterior;49.557,79;49.557.790 €
32.03;492;Prestaciones por razón de necesidad y otras ayudas para emigrantes;49.557,79;49.557.790 €
—;—;TOTAL TRANSFERENCIAS CORRIENTES;58.337,79;58.337.790,00
—;—;TOTAL SECRETARÍA DE ESTADO DE MIGRACIONES;60.502,19;60.502.190 €
—;—;TOTAL PROGRAMA 231B – Acciones en favor de los emigrantes;60.502,19;60.502.190 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
