Código Económico;Explicación;Unidad Orgánica (32.03);Total (miles €);Total (€ reales)
1;Gastos de personal;;1.542,19;1.542.190 €
12;Funcionarios;;1.391,56;1.391.560 €
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;150,63;150.630 €
2;Gastos corrientes en bienes y servicios;;622,21;622.210 €
22;Material, suministros y otros;;622,21;622.210 €
4;Transferencias corrientes;;58.337,79;58.337.790 €
48;A familias e instituciones sin fines de lucro;;8.780,00;8.780.000 €
49;Al exterior;;49.557,79;49.557.790 €
—;TOTAL PROGRAMA 231B – Acciones en favor de los emigrantes;;60.502,19;60.502.190 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
