Orgánica;Económica;Explicación;Total (miles €);Total (€ reales)
32.02;12;Funcionarios;4.047,84;4.047.840 €
32.02;13;Laborales;443,55;443.550 €
32.02;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;475,65;475.650 €
32.02;16000;Seguridad Social (detalle de la partida 16);475,65;475.650 €
—;—;TOTAL GASTOS DE PERSONAL;4.967,04;4.967.040 €
—;—;TOTAL SECRETARÍA DE ESTADO DE SEGURIDAD SOCIAL Y PENSIONES;4.967,04;4.967.040 €
—;—;TOTAL PROGRAMA 219N – Gestión de pensiones de Clases Pasivas;4.967,04;4.967.040 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
