Económica;Explicación;16.101;16.102;16.103;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;530.803,08;1.772,21;922,1;533.497,39;533.497.390,00
10;Altos cargos;64,01;–;61,03;125,04;125.040,00
12;Funcionarios;451.618,16;1.401,69;714,61;453.734,46;453.734.460,00
13;Laborales;8.750,48;43,98;–;8.794,46;8.794.460,00
15;Incentivos al rendimiento;53.459,94;241,64;–;53.701,58;53.701.580,00
16;Cuotas, prestaciones y gastos sociales;16.910,49;84,9;146,46;17.141,85;17.141.850,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;196.404,61;483,53;2.827,90;199.716,04;199.716.040,00
20;Arrendamientos y cánones;1.750;10;–;1.760,00;1.760.000,00
21;Reparaciones, mantenimiento y conservación;52.930,80;61,11;24;53.015,91;53.015.910,00
22;Material, suministros y otros;137.847,81;385,98;2.719,90;140.953,69;140.953.690,00
23;Indemnizaciones por razón del servicio;3.776,00;26,44;84;3.886,44;3.886.440,00
24;Gastos de publicaciones;100,00;–;–;100;100.000,00
3;GASTOS FINANCIEROS;52,89;–;–;52,89;52.890,00
4;TRANSFERENCIAS CORRIENTES;671,90;–;–;671,9;671.900,00
6;INVERSIONES REALES;115.161,31;11.100,00;250,00;126.511,31;126.511.310,00
60–64;Detalle de inversiones (infraestructura, reposición, inmaterial);;;;–;–
7;TRANSFERENCIAS DE CAPITAL;–;2.000,00;–;2.000,00;2.000.000,00
8;ACTIVOS FINANCIEROS;598,31;10;–;608,31;608.310,00
—;TOTAL CONSOLIDADO;843.692,10;15.365,74;4.000,00;863.057,84;863.057.840,00
4;TRANSFERENCIAS CORRIENTES;;;;136.154,92;136.154.920,00
40;A la Administración del Estado;;;;136.154,92;136.154.920,00
16.101;Jefatura Central de Tráfico;;;;979.847,02;979.847.020,00
16.102;Gerencia de Infraestructuras;;;;15.365,74;15.365.740,00
16.103;Centro Universitario de Formación;;;250;4.000,00;4.000.000,00
—;TOTAL Sección 16 – Organismos Autónomos;;;;999.212,76;999.212.760,00
